elapsed,all-states,ntasks,Flags,error-output,script-file,max-witness-size, Search Type,ntasks-per-node,error,Search Options,finish,max-rss,command,input,width,cpus-per-task,mem-per-cpu,account,time,job-name,CliqueNumberSimpleGraphs,iteration,status,job-id,start,conjecture-status
00:00:03,12,1, -pl -pdbgn ,,/cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../jobs/60760057.sh,16,IsomorphismBreadthFirstSearch,1,, ,19 16:54:51 CET 2022,0,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_1.txt > /cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../program-outputs/60760057.txt,../../inputs/CliqueNumberSimpleGraphs_1, tw = 4,1,4G,NN9535K,14-00:00:00,60760057,1,7,DONE,4876029,Wed Jan 19 16:54:47 CET 2022,"Conjecture: Satisfied
"
00:00:03,6,1, -pl -pdbgn ,,/cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../jobs/60760062.sh,16,IsomorphismBreadthFirstSearch,1,,-premise,19 16:54:51 CET 2022,0,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_1.txt > /cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../program-outputs/60760062.txt,../../inputs/CliqueNumberSimpleGraphs_1, tw = 4,1,4G,NN9535K,14-00:00:00,60760062,1,6,DONE,4876030,Wed Jan 19 16:54:47 CET 2022,"Conjecture: Satisfied
"
14-00:00:1,69223,1, -pl -pdbgn ,Error,/cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../jobs/60760067.sh,29,IsomorphismBreadthFirstSearch,1,"slurmstepd: error: *** JOB 4876031 ON c3-56 CANCELLED AT 2022-02-02T16:54:59 DUE TO TIME LIMIT ***
", ,2 16:55:04 CET 2022,911384K,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../program-outputs/60760067.txt,../../inputs/CliqueNumberSimpleGraphs_2, tw = 4,1,4G,NN9535K,14-00:00:00,60760067,2,9,DONE,4876031,Wed Jan 19 16:54:47 CET 2022,Not Finished
14-00:00:1,69217,1, -pl -pdbgn ,Error,/cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../jobs/60760071.sh,29,IsomorphismBreadthFirstSearch,1,"slurmstepd: error: *** JOB 4876032 ON c3-56 CANCELLED AT 2022-02-02T16:54:59 DUE TO TIME LIMIT ***
",-premise,2 16:55:04 CET 2022,910988K,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../program-outputs/60760071.txt,../../inputs/CliqueNumberSimpleGraphs_2, tw = 4,1,4G,NN9535K,14-00:00:00,60760071,2,9,DONE,4876032,Wed Jan 19 16:54:47 CET 2022,Not Finished
14-00:00:1,15409,1, -pl -pdbgn ,Error,/cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../jobs/60760076.sh,31,IsomorphismBreadthFirstSearch,1,"slurmstepd: error: *** JOB 4876033 ON c3-56 CANCELLED AT 2022-02-02T16:54:59 DUE TO TIME LIMIT ***
", ,2 16:55:04 CET 2022,1075860K,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../program-outputs/60760076.txt,../../inputs/CliqueNumberSimpleGraphs_3, tw = 4,1,4G,NN9535K,14-00:00:00,60760076,3,9,DONE,4876033,Wed Jan 19 16:54:47 CET 2022,Not Finished
14-00:00:1,15406,1, -pl -pdbgn ,Error,/cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../jobs/60760083.sh,31,IsomorphismBreadthFirstSearch,1,"slurmstepd: error: *** JOB 4876034 ON c3-56 CANCELLED AT 2022-02-02T16:54:59 DUE TO TIME LIMIT ***
",-premise,2 16:55:03 CET 2022,1074620K,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../program-outputs/60760083.txt,../../inputs/CliqueNumberSimpleGraphs_3, tw = 4,1,4G,NN9535K,14-00:00:00,60760083,3,9,DONE,4876034,Wed Jan 19 16:54:47 CET 2022,Not Finished
14-00:00:1,10598,1, -pl -pdbgn ,Error,/cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../jobs/60760089.sh,32,IsomorphismBreadthFirstSearch,1,"slurmstepd: error: *** JOB 4876035 ON c3-56 CANCELLED AT 2022-02-02T16:54:59 DUE TO TIME LIMIT ***
", ,2 16:55:01 CET 2022,536216K,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../program-outputs/60760089.txt,../../inputs/CliqueNumberSimpleGraphs_4, tw = 4,1,4G,NN9535K,14-00:00:00,60760089,4,9,DONE,4876035,Wed Jan 19 16:54:47 CET 2022,Not Finished
14-00:00:1,10598,1, -pl -pdbgn ,Error,/cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../jobs/60760094.sh,32,IsomorphismBreadthFirstSearch,1,"slurmstepd: error: *** JOB 4876036 ON c3-56 CANCELLED AT 2022-02-02T16:54:59 DUE TO TIME LIMIT ***
",-premise,2 16:55:05 CET 2022,536216K,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../program-outputs/60760094.txt,../../inputs/CliqueNumberSimpleGraphs_4, tw = 4,1,4G,NN9535K,14-00:00:00,60760094,4,9,DONE,4876036,Wed Jan 19 16:54:47 CET 2022,Not Finished
14-00:00:1,6553,1, -pl -pdbgn ,Error,/cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../jobs/60760099.sh,32,IsomorphismBreadthFirstSearch,1,"slurmstepd: error: *** JOB 4876037 ON c3-56 CANCELLED AT 2022-02-02T16:54:59 DUE TO TIME LIMIT ***
", ,2 16:55:05 CET 2022,1208792K,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../program-outputs/60760099.txt,../../inputs/CliqueNumberSimpleGraphs_5, tw = 4,1,4G,NN9535K,14-00:00:00,60760099,5,9,DONE,4876037,Wed Jan 19 16:54:47 CET 2022,Not Finished
14-00:00:1,6553,1, -pl -pdbgn ,Error,/cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../jobs/60760105.sh,32,IsomorphismBreadthFirstSearch,1,"slurmstepd: error: *** JOB 4876038 ON c3-56 CANCELLED AT 2022-02-02T16:54:59 DUE TO TIME LIMIT ***
",-premise,2 16:55:04 CET 2022,1206560K,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2022/jan19/clique-number-tw/main-script/job-generation/../../program-outputs/60760105.txt,../../inputs/CliqueNumberSimpleGraphs_5, tw = 4,1,4G,NN9535K,14-00:00:00,60760105,5,9,DONE,4876038,Wed Jan 19 16:54:48 CET 2022,Not Finished
