HasMultipleEdges,max-rss,input,Flags, Search Type,start,all-states,ntasks-per-node,width,error,error-output,account,job-id,iteration,command,script-file,time,elapsed,Search Options,conjecture-status,mem-per-cpu,job-name,ntasks,cpus-per-task,max-witness-size,finish,status
,0,../../inputs/HasMultipleEdges_, -pl -pdbgn ,IsomorphismBreadthFirstSearch,Wed Jan 19 19:48:01 CET 2022,7,1, tw = 1,,,NN9535K,4876360,7,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../program-outputs/61796377.txt,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../jobs/61796377.sh,14-00:00:00,00:00:01, ,"Conjecture: Satisfied
",2G,61796377,1,1,1,19 19:48:04 CET 2022,DONE
,0,../../inputs/HasMultipleEdges_, -pl -pdbgn ,IsomorphismBreadthFirstSearch,Wed Jan 19 19:48:01 CET 2022,4,1, tw = 1,,,NN9535K,4876361,4,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../program-outputs/61796382.txt,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../jobs/61796382.sh,14-00:00:00,00:00:02,-premise,"Conjecture: Satisfied
",2G,61796382,1,1,1,19 19:48:05 CET 2022,DONE
,0,../../inputs/HasMultipleEdges_, -pl -pdbgn ,IsomorphismBreadthFirstSearch,Wed Jan 19 19:48:01 CET 2022,12,1, tw = 2,,,NN9535K,4876362,7,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../program-outputs/61796386.txt,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../jobs/61796386.sh,14-00:00:00,00:00:03, ,"Conjecture: Satisfied
",2G,61796386,1,1,1,19 19:48:04 CET 2022,DONE
,0,../../inputs/HasMultipleEdges_, -pl -pdbgn ,IsomorphismBreadthFirstSearch,Wed Jan 19 19:48:02 CET 2022,8,1, tw = 2,,,NN9535K,4876363,7,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../program-outputs/61796391.txt,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../jobs/61796391.sh,14-00:00:00,00:00:03,-premise,"Conjecture: Satisfied
",2G,61796391,1,1,1,19 19:48:04 CET 2022,DONE
,0,../../inputs/HasMultipleEdges_, -pl -pdbgn ,IsomorphismBreadthFirstSearch,Wed Jan 19 19:48:02 CET 2022,24,1, tw = 3,,,NN9535K,4876364,9,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../program-outputs/61796396.txt,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../jobs/61796396.sh,14-00:00:00,00:00:05, ,"Conjecture: Satisfied
",2G,61796396,1,1,1,19 19:48:06 CET 2022,DONE
,0,../../inputs/HasMultipleEdges_, -pl -pdbgn ,IsomorphismBreadthFirstSearch,Wed Jan 19 19:48:02 CET 2022,19,1, tw = 3,,,NN9535K,4876365,9,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../program-outputs/61796400.txt,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../jobs/61796400.sh,14-00:00:00,00:00:04,-premise,"Conjecture: Satisfied
",2G,61796400,1,1,1,19 19:48:06 CET 2022,DONE
,1516K,../../inputs/HasMultipleEdges_, -pl -pdbgn ,IsomorphismBreadthFirstSearch,Wed Jan 19 19:48:02 CET 2022,59,1, tw = 4,,,NN9535K,4876366,11,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../program-outputs/61796405.txt,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../jobs/61796405.sh,14-00:00:00,00:04:43, ,"Conjecture: Satisfied
",2G,61796405,1,1,1,19 19:52:45 CET 2022,DONE
,1508K,../../inputs/HasMultipleEdges_, -pl -pdbgn ,IsomorphismBreadthFirstSearch,Wed Jan 19 19:48:02 CET 2022,53,1, tw = 4,,,NN9535K,4876367,11,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../program-outputs/61796410.txt,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../jobs/61796410.sh,14-00:00:00,00:04:24,-premise,"Conjecture: Satisfied
",2G,61796410,1,1,1,19 19:52:25 CET 2022,DONE
,20028K,../../inputs/HasMultipleEdges_, -pl -pdbgn ,IsomorphismBreadthFirstSearch,Wed Jan 19 19:48:01 CET 2022,216,1, tw = 5,,,NN9535K,4876368,12,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 5  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../program-outputs/61796415.txt,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../jobs/61796415.sh,14-00:00:00,9-00:39:12, ,"Conjecture: Satisfied
",2G,61796415,1,1,1,28 20:27:14 CET 2022,DONE
,20020K,../../inputs/HasMultipleEdges_, -pl -pdbgn ,IsomorphismBreadthFirstSearch,Wed Jan 19 19:48:01 CET 2022,209,1, tw = 5,,,NN9535K,4876369,12,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 5  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/HasMultipleEdges_.txt > /cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../program-outputs/61796420.txt,/cluster/projects/nn9535k/farhad/2022/jan19/has-multiple-edges-tw/main-script/job-generation/../../jobs/61796420.sh,14-00:00:00,8-16:48:35,-premise,"Conjecture: Satisfied
",2G,61796420,1,1,1,28 12:36:37 CET 2022,DONE
